tract_geoid,HTN_crude_prev,DM_crude_prev
04013422215,26.7,8.7
04013610201,37.1,11.6
04013422222,28.8,8.9
04013421802,29.7,12.6
04013422623,22.5,6.5
04013216854,26,7.2
04013421302,30,12.2
04013114301,39.3,16.7
04013217502,20.2,5.4
04013420113,32.2,10.4
04013116718,28.7,8.7
04013113602,31.6,14.3
04013116731,27.6,8.3
04013112524,26.3,9.9
04013422609,38,12.8
04013422302,25.7,8.6
04013422223,29.5,10.1
04013421002,34.1,12.2
04013523002,32.7,14.2
04013523104,27.7,10.2
04013116712,25.9,8
04013114800,33.6,16.4
04013319404,37,10.3
04013319706,23.4,8.4
04013112700,31.3,15.9
04013420602,31.3,10.2
04013319909,30.7,9
04013114000,27.2,9.6
04013422304,21.8,6.6
04013611500,26.2,8
04013610001,34.9,11.4
04013216902,29.3,8.4
04013422403,30.3,9.9
04013615201,22.9,6.6
04013522904,28.2,11.9
04013116708,37.1,11.6
04013319202,21.2,6.6
04013613602,24.1,7.1
04013421400,35.2,13.1
04013422220,30.8,9.5
04013421101,30.3,11.2
04013614601,25.3,7.6
04013422649,25.5,7.7
04013113702,30.6,12.7
04013420708,44.8,16.5
04013115801,33.9,16.9
04013116709,29.4,10.6
04013114401,36.2,19.4
04013116730,27,8.2
04013613700,27.7,8.6
04013116703,30.6,11.7
04013422655,23.8,7.2
04013422508,27.8,8.6
04013319201,20.8,7
04013216844,34.6,9.8
04013422001,30.2,14
04013817101,26.6,8
04019002504,38.2,15.9
04015951501,45.9,16.3
04015951800,39,15.1
04019004042,34,10.1
04017965302,43.1,14
04019004407,32.8,13.7
04019002000,35.5,14.1
04013723311,31.1,9.8
04013816003,25.4,8.1
04015950705,41.9,15.2
04019004127,33.5,10.2
04019004072,33.4,9.9
04019004114,33.9,15.2
04013814600,22.8,6.8
04013723306,42.1,19.4
04019004324,55,15.1
04019002604,35.8,14.5
04013811000,28.6,8.7
04015950500,49.5,18.8
04019004050,36.9,10.1
04015950708,46.4,16.7
04015951504,43.8,13.5
04013618400,35.2,13.6
04019003503,37.5,15
04013816005,27.8,8.7
04019002602,32.8,11.5
04017940014,50.5,26.2
04019004057,34.3,10.4
04013616300,31.4,10
04019004075,39.7,13
04019002300,40.4,19.9
04019000100,33,11.2
04013812400,22.5,6.7
04019004130,51.7,14
04013815203,23.8,7
04019004036,31.7,9.7
04019001303,39.9,17.6
04019004328,55.1,15.8
04019003102,38.7,13.5
04013811400,29.7,9.9
04015940501,45.1,15.7
04015950603,47.9,17.9
04019001400,25.8,8.4
04013723307,33.3,10.6
04019003303,37.8,12.4
04013814400,24.2,7.2
04019004035,40.3,13.7
04017940015,45.8,21.8
04013810000,24.4,7.4
04013616400,31,10.1
04017940301,40.3,18.7
04019004117,31.5,13.1
04013815601,25.4,7.3
04019003802,35.5,16.4
04019003704,35.8,16.7
04019001802,30.8,9.6
04019003902,32.5,13.9
04019001801,37.8,14.2
04013815901,25,7.8
04015951404,50.7,20.3
04019004118,28.9,9.7
04019004082,33.7,8.9
04019004038,35,11.5
04013723305,36.5,18
04013811500,29.4,9.8
04013616600,30.4,10.4
